City,Cu St ID,Order Date,Order ID,Ship Date,Ship Mode,State,Zip Code
New York City,HP-14815,2020-11-30,CA-2017-111689,2020-12-02,Second Class,New York,10024
Glendale,AI-10855,2020-09-09,CA-2017-155929,2020-09-13,Standard Class,Arizona,85301
Philadelphia,PB-19150,2018-06-16,CA-2015-167269,2018-06-20,Standard Class,Pennsylvania,19134
New York City,SV-20365,2020-09-20,CA-2017-100111,2020-09-26,Standard Class,New York,10035
San Francisco,TS-21160,2019-03-03,CA-2016-120005,2019-03-03,Same Day,California,94110
San Diego,JW-15220,2019-09-18,CA-2016-133935,2019-09-22,Standard Class,California,92105
Oceanside,GM-14500,2018-09-26,CA-2015-127173,2018-10-03,Standard Class,New York,11572
Phoenix,MZ-17335,2019-10-09,CA-2016-114748,2019-10-14,Standard Class,Arizona,85023
New Brunswick,SJ-20125,2020-04-10,CA-2017-161984,2020-04-15,Standard Class,New Jersey,8901
Seattle,BS-11365,2017-05-04,US-2014-148194,2017-05-07,First Class,Washington,98105
Detroit,BS-11755,2019-11-30,CA-2016-156748,2019-12-06,Standard Class,Michigan,48227
Denver,BS-11380,2020-12-02,US-2017-112347,2020-12-06,Standard Class,Colorado,80219
Jacksonville,HR-14770,2020-04-07,CA-2017-165904,2020-04-11,Standard Class,Florida,32216
Los Angeles,MA-17560,2017-11-11,CA-2014-140732,2017-11-13,Second Class,California,90004
New York City,NW-18400,2018-05-08,US-2015-160857,2018-05-15,Standard Class,New York,10024
Decatur,DK-13150,2017-12-05,CA-2014-166191,2017-12-09,Second Class,Illinois,62521
Chicago,CK-12595,2020-01-29,US-2017-127341,2020-02-02,Standard Class,Illinois,60653
Chicago,PO-19180,2019-06-12,CA-2016-147375,2019-06-14,Second Class,Illinois,60623
Waterbury,Dp-13240,2020-09-15,CA-2017-139822,2020-09-21,Standard Class,Connecticut,6708
Philadelphia,PL-18925,2020-06-22,CA-2017-165757,2020-06-28,Standard Class,Pennsylvania,19140
Troy,EH-14125,2019-04-08,CA-2016-104969,2019-04-14,Standard Class,Ohio,45373
Chicago,JF-15490,2020-05-06,US-2017-162124,2020-05-10,Standard Class,Illinois,60653
Fort Worth,LB-16735,2020-04-26,CA-2017-160045,2020-04-27,First Class,Texas,76106
Oklahoma City,BS-11365,2019-06-20,CA-2016-149965,2019-06-25,Standard Class,Oklahoma,73120
Miami,DL-12865,2020-09-21,US-2017-146878,2020-09-27,Standard Class,Florida,33142
Riverside,JL-15130,2019-04-24,CA-2016-138933,2019-04-27,First Class,California,92503
Tampa,DB-12910,2020-12-02,CA-2017-155089,2020-12-06,Standard Class,Florida,33614
Elyria,BM-11650,2020-11-16,CA-2017-121678,2020-11-20,Second Class,Ohio,44035
Durham,JC-16105,2018-09-03,CA-2015-149734,2018-09-08,Standard Class,North Carolina,27707
Los Angeles,GK-14620,2017-07-13,US-2014-165862,2017-07-17,Standard Class,California,90049
Henderson,DK-12985,2018-12-07,CA-2015-134894,2018-12-11,Standard Class,Kentucky,42420
Tucson,CT-11995,2017-12-20,CA-2014-138681,2017-12-22,First Class,Arizona,85705
Jacksonville,JR-16210,2018-09-18,CA-2015-142202,2018-09-23,Second Class,Florida,32216
New York City,DK-13375,2017-09-07,CA-2014-100006,2017-09-13,Standard Class,New York,10024
Virginia Beach,OT-18730,2020-10-26,CA-2017-162173,2020-11-01,Standard Class,Virginia,23464
Los Angeles,CC-12550,2020-12-01,CA-2017-118542,2020-12-05,Standard Class,California,90008
Tempe,JF-15490,2020-08-31,CA-2017-159884,2020-09-05,Standard Class,Arizona,85281
Cleveland,RA-19945,2018-12-10,CA-2015-112823,2018-12-16,Standard Class,Ohio,44105
Tuscaloosa,DP-13390,2020-01-06,CA-2017-150931,2020-01-13,Standard Class,Alabama,35401
Newark,BD-11725,2019-02-25,CA-2016-165015,2019-02-27,Second Class,Ohio,43055
Philadelphia,EB-14110,2019-11-14,CA-2016-121370,2019-11-19,Second Class,Pennsylvania,19134
San Francisco,CY-12745,2020-09-16,CA-2017-130715,2020-09-20,Standard Class,California,94110
Smyrna,MM-18280,2017-01-20,US-2014-147774,2017-01-26,Standard Class,Tennessee,37167
Lancaster,JL-15130,2020-04-11,US-2017-100482,2020-04-15,Standard Class,Ohio,43130
New York City,BM-11650,2020-03-24,CA-2017-167101,2020-03-28,Second Class,New York,10009
Los Angeles,LC-17140,2019-04-08,CA-2016-130477,2019-04-12,Standard Class,California,90032
Smyrna,MP-17470,2018-06-28,CA-2015-103772,2018-07-02,Standard Class,Georgia,30080
Fort Lauderdale,AP-10720,2019-10-21,CA-2016-136322,2019-10-26,Standard Class,Florida,33311
Huntsville,MF-17665,2019-08-05,US-2016-102232,2019-08-11,Standard Class,Alabama,35810
Chicago,TH-21235,2020-05-28,US-2017-118556,2020-06-02,Second Class,Illinois,60653
Brentwood,AI-10855,2017-12-29,CA-2014-102330,2018-01-03,Standard Class,California,94513
Gresham,CL-12565,2017-09-10,CA-2014-125731,2017-09-16,Standard Class,Oregon,97030
Los Angeles,PG-18895,2018-12-17,CA-2015-134117,2018-12-19,Second Class,California,90008
Pueblo,LB-16795,2019-10-06,US-2016-157490,2019-10-07,First Class,Colorado,81001
New York City,FH-14275,2020-11-10,CA-2017-104640,2020-11-16,Standard Class,New York,10024
Marion,RS-19765,2020-09-08,CA-2017-152856,2020-09-10,Second Class,Ohio,43302
Ormond Beach,TS-21085,2020-01-07,US-2017-168690,2020-01-13,Standard Class,Florida,32174
Oceanside,PS-19045,2019-11-07,CA-2016-164896,2019-11-12,Standard Class,California,92054
Gaithersburg,BM-11575,2019-01-02,CA-2016-160304,2019-01-07,Standard Class,Maryland,20877
Santa Ana,EK-13795,2018-11-29,CA-2015-154340,2018-11-30,First Class,California,92704
Philadelphia,JF-15565,2017-10-11,US-2014-126571,2017-10-15,Standard Class,Pennsylvania,19120
Roswell,CS-12355,2018-09-04,CA-2015-142755,2018-09-08,Standard Class,Georgia,30076
Los Angeles,RP-19855,2018-09-28,CA-2015-129546,2018-10-05,Standard Class,California,90032
Oceanside,DV-13465,2018-11-09,CA-2015-146486,2018-11-14,Second Class,New York,11572
San Francisco,BP-11095,2019-10-27,CA-2016-156811,2019-11-02,Standard Class,California,94122
Columbia,CS-12250,2017-11-28,CA-2014-101560,2017-12-01,Second Class,South Carolina,29203
Seattle,CS-12250,2020-01-23,CA-2017-139080,2020-01-28,Standard Class,Washington,98103
Los Angeles,EM-13810,2018-06-07,CA-2015-142041,2018-06-09,Second Class,California,90036
Los Angeles,JO-15280,2019-04-19,US-2016-115819,2019-04-24,Second Class,California,90049
Philadelphia,BW-11065,2020-06-01,CA-2017-157413,2020-06-06,Standard Class,Pennsylvania,19120
New York City,JG-15160,2017-05-30,CA-2014-105872,2017-06-06,Standard Class,New York,10024
San Diego,CD-12790,2017-02-02,CA-2014-139857,2017-02-06,Standard Class,California,92037
Vineland,BB-11545,2019-12-26,CA-2016-155166,2020-01-02,Standard Class,New Jersey,8360
Philadelphia,CC-12475,2020-11-21,CA-2017-100811,2020-11-24,First Class,Pennsylvania,19143
New York City,AT-10735,2020-12-17,CA-2017-103443,2020-12-23,Standard Class,New York,10009
Columbus,JF-15490,2020-04-30,US-2017-150847,2020-05-06,Standard Class,Ohio,43229
Plano,SC-20020,2017-06-20,CA-2014-166863,2017-06-24,Standard Class,Texas,75023
Miami,TB-21400,2017-01-21,CA-2014-110422,2017-01-23,Second Class,Florida,33180
San Francisco,MB-17305,2018-10-08,CA-2015-168529,2018-10-12,Standard Class,California,94122
Glendale,MB-17305,2017-08-08,CA-2014-151708,2017-08-14,Standard Class,Arizona,85301
Chicago,KL-16645,2019-06-04,CA-2016-157749,2019-06-09,Second Class,Illinois,60610
New York City,BW-11065,2017-05-25,CA-2014-100391,2017-05-29,Standard Class,New York,10035
Colorado Springs,KL-16555,2017-12-26,CA-2014-111451,2017-12-28,First Class,Colorado,80906
Concord,AR-10825,2020-07-21,CA-2017-118724,2020-07-25,Second Class,California,94521
Philadelphia,CC-12370,2019-05-23,CA-2016-143714,2019-05-27,Standard Class,Pennsylvania,19120
Bloomington,LT-17110,2018-10-22,US-2015-104430,2018-10-26,Standard Class,Illinois,61701
El Paso,BP-11095,2020-11-30,CA-2017-137365,2020-12-03,Second Class,Texas,79907
Seattle,CP-12340,2019-10-14,US-2016-108098,2019-10-18,Standard Class,Washington,98115
Oakland,CV-12805,2020-09-04,CA-2017-137582,2020-09-08,Standard Class,California,94601
Lawrence,JW-15220,2018-04-30,US-2015-115238,2018-05-04,Standard Class,Massachusetts,1841
Denver,BS-11755,2017-08-03,CA-2014-133690,2017-08-05,First Class,Colorado,80219
Florence,HG-14965,2018-08-21,CA-2015-122168,2018-08-26,Standard Class,Kentucky,41042
Newark,CW-11905,2020-05-13,CA-2017-161655,2020-05-18,Second Class,Delaware,19711
Jacksonville,MG-18205,2020-04-10,CA-2017-115070,2020-04-14,Second Class,Florida,32216
Springfield,SR-20425,2020-11-02,CA-2017-120061,2020-11-07,Second Class,Ohio,45503
Lubbock,MH-17785,2020-09-23,CA-2017-103520,2020-09-25,First Class,Texas,79424
Des Moines,NP-18685,2017-03-07,US-2014-131982,2017-03-11,Second Class,Washington,98198
Philadelphia,FG-14260,2020-09-19,CA-2017-160801,2020-09-19,Same Day,Pennsylvania,19120
Seattle,RP-19270,2019-08-21,CA-2016-167983,2019-08-24,Second Class,Washington,98115
Muskogee,JP-16135,2020-02-20,CA-2017-150525,2020-02-25,Standard Class,Oklahoma,74403
Elmhurst,VF-21715,2017-03-01,CA-2014-113880,2017-03-05,Standard Class,Illinois,60126
Dallas,SF-20065,2018-12-05,CA-2015-142937,2018-12-06,First Class,Texas,75220
Green Bay,BD-11500,2017-02-01,CA-2014-140795,2017-02-03,First Class,Wisconsin,54302
Rio Rancho,GZ-14470,2018-11-14,CA-2015-123141,2018-11-19,Standard Class,New Mexico,87124
Chicago,CA-12265,2017-12-26,US-2014-111171,2017-12-31,Standard Class,Illinois,60610
Redlands,CM-12445,2019-09-26,CA-2016-145898,2019-09-26,Same Day,California,92374
Newark,LE-16810,2018-06-12,CA-2015-131779,2018-06-17,Standard Class,Delaware,19711
Detroit,MC-17605,2020-01-23,CA-2017-145142,2020-01-25,First Class,Michigan,48234
New York City,MH-17440,2019-12-19,CA-2016-141523,2019-12-24,Second Class,New York,10035
Chicago,CS-12400,2020-11-13,US-2017-119662,2020-11-16,First Class,Illinois,60623
New York City,JK-15640,2018-12-25,CA-2015-143980,2018-12-29,Standard Class,New York,10011
Norwich,CP-12085,2019-03-30,CA-2016-128258,2019-04-01,First Class,Connecticut,6360
New York City,HZ-14950,2020-09-14,CA-2017-108931,2020-09-19,Standard Class,New York,10024
Henderson,ME-17320,2017-01-06,CA-2014-167199,2017-01-10,Standard Class,Kentucky,42420
Seattle,VG-21790,2020-07-29,US-2017-115301,2020-08-02,Standard Class,Washington,98103
Chula Vista,JB-16045,2018-05-03,CA-2015-107937,2018-05-08,Standard Class,California,91911
Springfield,JK-16090,2020-10-02,CA-2017-141117,2020-10-08,Standard Class,Oregon,97477
Deltona,BM-11785,2017-12-14,CA-2014-116568,2017-12-20,Standard Class,Florida,32725
Wheeling,AZ-10750,2020-07-23,CA-2017-110940,2020-07-28,Standard Class,Illinois,60090
Pomona,ZC-21910,2018-04-13,CA-2015-133452,2018-04-19,Standard Class,California,91767
Apple Valley,NC-18340,2017-03-30,US-2014-113124,2017-04-05,Standard Class,Minnesota,55124
San Francisco,DB-13210,2019-06-09,CA-2016-122448,2019-06-14,Standard Class,California,94109
San Francisco,CS-12400,2020-09-15,CA-2017-127096,2020-09-17,Second Class,California,94109
Lowell,KB-16585,2020-03-12,CA-2017-159352,2020-03-17,Standard Class,Massachusetts,1852
Milwaukee,NB-18655,2020-11-18,CA-2017-107825,2020-11-18,Same Day,Wisconsin,53209
Jacksonville,RB-19570,2020-01-14,CA-2017-138779,2020-01-15,First Class,North Carolina,28540
Los Angeles,CC-12145,2018-01-30,CA-2015-121797,2018-02-06,Standard Class,California,90049
Knoxville,GM-14440,2017-03-21,US-2014-155544,2017-03-25,Standard Class,Tennessee,37918
Lakewood,CR-12625,2017-06-01,CA-2014-111003,2017-06-06,Standard Class,New Jersey,8701
Seattle,JO-15145,2020-11-03,US-2017-168802,2020-11-07,Standard Class,Washington,98103
Fort Lauderdale,DP-13000,2019-05-15,CA-2016-141180,2019-05-19,Second Class,Florida,33311
Fresno,LS-17200,2017-11-26,CA-2014-141110,2017-12-01,Standard Class,California,93727
Glendale,KT-16465,2019-04-14,CA-2016-112669,2019-04-14,Same Day,Arizona,85301
Lakeland,MC-17605,2017-03-19,CA-2014-103989,2017-03-21,First Class,Florida,33801
Seattle,JE-15715,2019-12-25,CA-2016-105081,2019-12-30,Standard Class,Washington,98115
Orlando,FA-14230,2019-11-20,CA-2016-113845,2019-11-25,Standard Class,Florida,32839
Corpus Christi,SC-20260,2017-09-14,US-2014-127635,2017-09-18,Second Class,Texas,78415
Jacksonville,JW-16075,2018-03-21,CA-2015-120621,2018-03-26,Standard Class,North Carolina,28540
New York City,SL-20155,2019-12-10,CA-2016-100587,2019-12-14,Standard Class,New York,10024
El Paso,MG-17875,2017-02-23,CA-2014-103744,2017-02-27,Standard Class,Texas,79907
New York City,PJ-19015,2018-07-18,CA-2015-122973,2018-07-20,Second Class,New York,10024
Lawrence,AC-10660,2019-09-22,CA-2016-158617,2019-09-28,Standard Class,Indiana,46226
Los Angeles,CV-12805,2020-02-18,CA-2017-164707,2020-02-21,Second Class,California,90045
Lorain,BE-11455,2019-05-06,CA-2016-118052,2019-05-10,Standard Class,Ohio,44052
Los Angeles,AP-10915,2017-11-11,CA-2014-105270,2017-11-18,Standard Class,California,90008
Dallas,LS-16975,2020-11-12,CA-2017-164168,2020-11-18,Standard Class,Texas,75081
San Francisco,JL-15835,2020-11-24,CA-2017-164028,2020-11-30,Standard Class,California,94122
Philadelphia,RK-19300,2020-09-02,CA-2017-114216,2020-09-06,Standard Class,Pennsylvania,19140
Omaha,GT-14710,2020-06-27,CA-2017-151190,2020-07-01,Standard Class,Nebraska,68104
Fort Lauderdale,MG-17875,2020-09-05,CA-2017-120705,2020-09-11,Standard Class,Florida,33311
Long Beach,SJ-20125,2019-12-10,CA-2016-147123,2019-12-12,First Class,California,90805
San Francisco,NK-18490,2019-10-17,CA-2016-141586,2019-10-20,First Class,California,94122
Brentwood,LW-16825,2017-11-25,CA-2014-164721,2017-11-27,Second Class,California,94513
New York City,AR-10405,2020-06-19,CA-2017-140844,2020-06-23,Standard Class,New York,10035
Richmond,CB-12025,2020-09-11,US-2017-152898,2020-09-15,Standard Class,Virginia,23223
New York City,MN-17935,2020-11-26,CA-2017-100097,2020-11-29,Second Class,New York,10009
Gresham,SG-20470,2019-08-22,CA-2016-130484,2019-08-27,Standard Class,Oregon,97030
San Francisco,BF-11170,2020-03-06,US-2017-119039,2020-03-10,Standard Class,California,94109
Houston,LS-16975,2019-07-30,CA-2016-112025,2019-08-04,Standard Class,Texas,77070
San Francisco,CB-12535,2019-11-07,CA-2016-147585,2019-11-12,Standard Class,California,94110
San Francisco,RB-19360,2019-07-14,CA-2016-109953,2019-07-18,Standard Class,California,94122
Pasadena,SN-20710,2019-11-18,CA-2016-119963,2019-11-22,Standard Class,Texas,77506
San Francisco,CB-12025,2020-09-11,CA-2017-144484,2020-09-11,Same Day,California,94110
Anaheim,MD-17350,2017-12-28,CA-2014-143371,2018-01-03,Standard Class,California,92804
San Jose,EB-14110,2019-09-11,CA-2016-116561,2019-09-17,Standard Class,California,95123
San Francisco,CC-12430,2019-09-19,US-2016-114888,2019-09-24,Second Class,California,94109
Lakeland,RA-19285,2018-10-23,CA-2015-155068,2018-10-23,Same Day,Florida,33801
Springfield,AJ-10795,2019-09-12,CA-2016-123946,2019-09-17,Standard Class,Virginia,22153
San Francisco,PB-18805,2018-11-20,CA-2015-146465,2018-11-24,Standard Class,California,94122
Los Angeles,JO-15280,2018-11-02,CA-2015-130890,2018-11-06,Standard Class,California,90004
Tempe,DJ-13510,2020-11-12,US-2017-132220,2020-11-16,Standard Class,Arizona,85281
Hendersonville,DK-12985,2020-12-23,CA-2017-140627,2020-12-27,Standard Class,Tennessee,37075
Milwaukee,BM-11650,2020-11-27,CA-2017-102519,2020-11-29,First Class,Wisconsin,53209
Paterson,SN-20560,2018-09-11,CA-2015-125934,2018-09-18,Standard Class,New Jersey,7501
Los Angeles,NG-18430,2018-11-22,CA-2015-137708,2018-11-25,Second Class,California,90008
Chicago,AF-10870,2020-04-24,CA-2017-125269,2020-04-30,Standard Class,Illinois,60610
Chandler,LH-16750,2020-04-25,CA-2017-129707,2020-04-29,Standard Class,Arizona,85224
New York City,KH-16330,2020-11-20,CA-2017-120404,2020-11-24,Second Class,New York,10035
Encinitas,RA-19915,2020-12-18,CA-2017-140585,2020-12-23,Second Class,California,92024
Saint Petersburg,EB-13930,2017-02-02,CA-2014-123400,2017-02-09,Standard Class,Florida,33710
Jackson,MC-17845,2017-07-05,CA-2014-157784,2017-07-08,First Class,Mississippi,39212
Houston,RP-19390,2020-04-21,US-2017-145863,2020-04-27,Standard Class,Texas,77041
Cincinnati,EB-13750,2019-08-28,CA-2016-137652,2019-08-30,First Class,Ohio,45231
Philadelphia,GB-14575,2018-06-12,CA-2015-139850,2018-06-17,Standard Class,Pennsylvania,19134
Saint Charles,BB-11545,2018-06-05,CA-2015-115168,2018-06-09,Standard Class,Missouri,63301
Laguna Niguel,BC-11125,2019-09-16,US-2016-134369,2019-09-22,Standard Class,California,92677
Philadelphia,KM-16660,2019-08-01,CA-2016-132990,2019-08-03,Second Class,Pennsylvania,19140
Richmond,FM-14290,2020-11-24,CA-2017-146535,2020-11-30,Standard Class,Kentucky,40475
Seattle,BD-11320,2020-06-10,CA-2017-158071,2020-06-15,Standard Class,Washington,98103
Chicago,JH-15820,2020-07-09,CA-2017-132122,2020-07-14,Standard Class,Illinois,60610
San Diego,OT-18730,2020-06-26,CA-2017-115364,2020-07-02,Standard Class,California,92105
Mesa,TG-21310,2018-07-14,CA-2015-143364,2018-07-19,Second Class,Arizona,85204
San Francisco,JF-15490,2019-01-30,CA-2016-164483,2019-02-03,Standard Class,California,94122
Hialeah,JH-15430,2020-12-25,CA-2017-105620,2020-12-28,First Class,Florida,33012
Miami,EB-13870,2020-01-30,CA-2017-148999,2020-02-04,Standard Class,Florida,33142
Denver,ON-18715,2019-03-01,US-2016-151862,2019-03-08,Standard Class,Colorado,80219
Grapevine,MY-18295,2019-04-15,US-2016-132423,2019-04-19,Standard Class,Texas,76051
Indianapolis,SV-20815,2018-05-04,CA-2015-146290,2018-05-11,Standard Class,Indiana,46203
Fort Lauderdale,SO-20335,2018-10-11,US-2015-108966,2018-10-18,Standard Class,Florida,33311
Oakland,CY-12745,2019-08-15,CA-2016-166163,2019-08-20,Second Class,California,94601
Rome,BE-11335,2020-07-17,US-2017-105046,2020-07-23,Standard Class,New York,13440
Detroit,AB-10105,2019-12-17,CA-2016-117121,2019-12-21,Standard Class,Michigan,48205
Philadelphia,JP-16135,2019-11-03,CA-2016-134180,2019-11-07,Standard Class,Pennsylvania,19120
Oakland,PR-18880,2020-08-21,US-2017-109253,2020-08-22,First Class,California,94601
Morgan Hill,RD-19720,2019-12-03,CA-2016-149762,2019-12-07,Standard Class,California,95037
New York City,AC-10450,2018-11-08,CA-2015-164441,2018-11-13,Standard Class,New York,10011
Goldsboro,SF-20065,2019-12-16,CA-2016-130442,2019-12-19,First Class,North Carolina,27534
Dallas,KN-16450,2018-07-09,CA-2015-123456,2018-07-13,Standard Class,Texas,75220
Las Vegas,VP-21730,2020-06-30,CA-2017-102946,2020-07-05,Standard Class,Nevada,89115
Seattle,TS-21430,2017-07-30,CA-2014-111192,2017-08-05,Standard Class,Washington,98103
Dallas,JK-15325,2017-11-21,US-2014-168501,2017-11-27,Standard Class,Texas,75220
Lowell,DB-13060,2019-06-06,CA-2016-127369,2019-06-07,First Class,Massachusetts,1852
Los Angeles,LH-17155,2019-10-29,US-2016-131912,2019-11-01,Second Class,California,90008
New York City,DL-12865,2019-02-27,CA-2016-102456,2019-03-01,First Class,New York,10011
Seattle,DN-13690,2019-04-21,CA-2016-151498,2019-04-24,First Class,Washington,98115
Burlington,ON-18715,2019-11-15,CA-2016-130820,2019-11-15,Same Day,North Carolina,27217
Detroit,LD-17005,2019-11-11,CA-2016-139878,2019-11-16,Standard Class,Michigan,48234
Philadelphia,PK-18910,2019-09-03,CA-2016-158099,2019-09-05,First Class,Pennsylvania,19143
Cincinnati,NG-18430,2017-11-24,CA-2014-115973,2017-11-26,First Class,Ohio,45231
New York City,LH-16900,2017-09-01,CA-2014-109855,2017-09-05,Standard Class,New York,10009
Grand Prairie,AM-10360,2019-07-16,CA-2016-157000,2019-07-22,Standard Class,Texas,75051
Seattle,AM-10705,2020-06-25,US-2017-124821,2020-06-29,Second Class,Washington,98115
Seattle,LB-16795,2020-05-09,CA-2017-118199,2020-05-11,First Class,Washington,98105
Brentwood,AH-10210,2018-11-10,CA-2015-155040,2018-11-15,Standard Class,California,94513
Los Angeles,AG-10900,2018-12-27,CA-2015-148376,2018-12-31,Standard Class,California,90008
New York City,SC-20440,2020-09-22,CA-2017-136000,2020-09-25,Second Class,New York,10009
Baltimore,MS-17830,2019-10-04,CA-2016-131296,2019-10-09,Standard Class,Maryland,21215
Chicago,GH-14410,2020-06-30,CA-2017-163006,2020-07-04,Second Class,Illinois,60653
Miami,PN-18775,2020-11-30,US-2017-148768,2020-12-02,Second Class,Florida,33180
Minneapolis,JC-16105,2017-11-18,CA-2014-141173,2017-11-20,Second Class,Minnesota,55407
Thornton,RP-19390,2018-10-02,CA-2015-128356,2018-10-07,Standard Class,Colorado,80229
Austin,BG-11035,2018-12-31,CA-2015-120901,2019-01-04,Standard Class,Texas,78745
New York City,BO-11425,2018-09-10,CA-2015-136658,2018-09-17,Standard Class,New York,10024
Skokie,LS-17200,2020-06-17,CA-2017-131618,2020-06-20,First Class,Illinois,60076
Hialeah,SC-20695,2019-07-07,CA-2016-114713,2019-07-12,Standard Class,Florida,33012
North Miami,DC-12850,2018-03-19,CA-2015-143532,2018-03-24,Standard Class,Florida,33161
Quincy,MM-18280,2019-09-28,US-2016-134656,2019-10-01,First Class,Illinois,62301
Seattle,EB-14170,2017-09-29,CA-2014-111962,2017-10-04,Standard Class,Washington,98115
San Francisco,GM-14440,2020-04-22,CA-2017-135783,2020-04-24,First Class,California,94122
Athens,XP-21865,2019-08-26,CA-2016-163174,2019-08-30,Standard Class,Georgia,30605
New York City,GW-14605,2018-09-19,CA-2015-135489,2018-09-22,Second Class,New York,10024
Maple Grove,Dp-13240,2020-06-15,CA-2017-169691,2020-06-18,First Class,Minnesota,55369
Houston,MB-18085,2019-05-09,CA-2016-112382,2019-05-13,Standard Class,Texas,77036
Louisville,JW-15955,2020-12-25,CA-2017-163510,2020-12-28,Second Class,Kentucky,40214
New York City,CS-12250,2017-02-07,US-2014-169390,2017-02-10,Second Class,New York,10024
Fayetteville,RD-19810,2017-10-27,CA-2014-148285,2017-11-01,Standard Class,North Carolina,28314
Anaheim,BP-11185,2020-12-29,CA-2017-146626,2021-01-05,Standard Class,California,92804
Richmond,FM-14215,2017-03-11,CA-2014-114790,2017-03-13,Second Class,Kentucky,40475
Houston,PB-19105,2017-11-15,CA-2014-128888,2017-11-22,Standard Class,Texas,77095
Detroit,JL-15835,2018-12-17,US-2015-138121,2018-12-17,Same Day,Michigan,48205
Saint Charles,SZ-20035,2018-12-21,CA-2015-154284,2018-12-26,Second Class,Illinois,60174
Cleveland,SV-20365,2018-01-27,CA-2015-168746,2018-01-29,Second Class,Ohio,44105
Philadelphia,DB-13210,2019-09-05,CA-2016-158778,2019-09-09,Standard Class,Pennsylvania,19134
Springfield,PP-18955,2019-11-10,CA-2016-145177,2019-11-14,Standard Class,Ohio,45503
Columbus,RA-19915,2018-11-13,CA-2015-149909,2018-11-17,Standard Class,Indiana,47201
Auburn,RB-19360,2019-04-01,CA-2016-166674,2019-04-03,Second Class,New York,13021
San Diego,BG-11740,2018-06-18,CA-2015-154200,2018-06-22,Standard Class,California,92105
Philadelphia,FO-14305,2018-09-22,US-2015-115343,2018-09-25,First Class,Pennsylvania,19143
Chicago,AB-10600,2017-11-18,CA-2014-115336,2017-11-25,Standard Class,Illinois,60623
Concord,JH-15985,2018-01-28,CA-2015-116638,2018-01-31,Second Class,North Carolina,28027
Jackson,MT-17815,2019-07-25,CA-2016-104157,2019-07-29,Standard Class,Mississippi,39212
Houston,DP-13000,2017-01-03,CA-2014-103800,2017-01-07,Standard Class,Texas,77095
Dallas,SP-20860,2020-10-12,CA-2017-169362,2020-10-15,First Class,Texas,75217
Tampa,AC-10450,2018-06-15,US-2015-106495,2018-06-17,First Class,Florida,33614
Allen,AG-10675,2018-05-07,CA-2015-137512,2018-05-12,Standard Class,Texas,75002
New York City,Dl-13600,2019-04-07,CA-2016-120530,2019-04-12,Standard Class,New York,10035
Philadelphia,HG-14845,2018-09-13,US-2015-161347,2018-09-19,Standard Class,Pennsylvania,19120
Dallas,MS-17980,2018-02-09,CA-2015-101007,2018-02-13,Second Class,Texas,75220
New York City,MA-17560,2018-12-10,CA-2015-143105,2018-12-10,Same Day,New York,10024
New York City,Dp-13240,2018-11-09,CA-2015-169796,2018-11-14,Standard Class,New York,10035
Seattle,AT-10735,2020-05-19,CA-2017-153787,2020-05-23,Standard Class,Washington,98115
Philadelphia,JA-15970,2020-09-22,CA-2017-158379,2020-09-26,Second Class,Pennsylvania,19134
Wilmington,TS-21370,2018-07-11,CA-2015-136469,2018-07-12,First Class,Delaware,19805
Philadelphia,CL-11890,2020-06-10,US-2017-131583,2020-06-10,Same Day,Pennsylvania,19143
Gilbert,KM-16375,2020-02-20,CA-2017-135937,2020-02-27,Standard Class,Arizona,85234
Jackson,MA-17560,2018-12-01,CA-2015-110324,2018-12-05,Standard Class,Michigan,49201
Grand Rapids,EN-13780,2019-09-20,CA-2016-126284,2019-09-24,Standard Class,Michigan,49505
Chicago,BM-11575,2020-04-17,US-2017-129203,2020-04-22,Standard Class,Illinois,60653
Greenville,DL-12925,2017-09-09,US-2014-115196,2017-09-13,Standard Class,North Carolina,27834
Pearland,SH-19975,2020-09-22,US-2017-108245,2020-09-27,Standard Class,Texas,77581
Dallas,SS-20875,2019-08-27,US-2016-146710,2019-09-01,Standard Class,Texas,75220
Seattle,GM-14680,2017-08-11,CA-2014-127012,2017-08-15,Standard Class,Washington,98105
Jacksonville,SA-20830,2020-04-09,CA-2017-122154,2020-04-11,First Class,Florida,32216
Huntsville,HM-14860,2019-09-27,US-2016-110170,2019-10-03,Standard Class,Texas,77340
Redlands,SG-20080,2018-10-31,CA-2015-164882,2018-10-31,Same Day,California,92374
Portland,JF-15490,2018-10-05,CA-2015-133445,2018-10-09,Standard Class,Oregon,97206
Everett,SF-20065,2020-11-01,CA-2017-104136,2020-11-04,Second Class,Massachusetts,2149
Lorain,GA-14725,2020-01-01,CA-2017-107503,2020-01-06,Standard Class,Ohio,44052
Atlanta,JH-15910,2018-09-13,CA-2015-118843,2018-09-20,Standard Class,Georgia,30318
Los Angeles,NS-18640,2017-06-25,CA-2014-159338,2017-06-28,First Class,California,90049
Los Angeles,MZ-17515,2017-04-04,US-2014-128685,2017-04-05,First Class,California,90008
Detroit,KL-16645,2019-07-31,CA-2016-133550,2019-08-06,Standard Class,Michigan,48205
Dallas,MG-17650,2020-10-12,CA-2017-152933,2020-10-16,Standard Class,Texas,75081
San Francisco,RD-19900,2019-06-23,CA-2016-140382,2019-06-25,Second Class,California,94109
Jackson,AB-10255,2019-12-20,CA-2016-151155,2019-12-24,Standard Class,Mississippi,39212
